,Product_name,Product_Description,Price_of_Product,Reviews_of_the_Product
53,"OnePlus 11R 5G (Sonic Black, 256 GB)","OnePlus 11R 5G (Sonic Black, 256 GB)4.58,294 Ratings & 648 Reviews16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh BatteryDomestic warranty of 12 months on phone & 6 months on accessries₹44,999Free deliverySave extra with combo offersOnly 2 left","₹44,999","4.58,294 Ratings & 648 Reviews"
54,"Nothing Phone (2) (Dark Grey, 512 GB)","Nothing Phone (2) (Dark Grey, 512 GB)4.46,414 Ratings & 838 Reviews12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50 MP(OIS) +50MP | 32MP Front Camera4700 mAh Lithium ion BatteryQualcomm Snapdragon 8+ Gen 1 ProcessorLTPO AMOLED (1 Hz - 120 Hz)1 Year Manufacturing Warranty₹49,999₹59,99916% offFree deliveryFestive Best PriceUpto ₹42,000 Off on Exchange","₹49,999","4.46,414 Ratings & 838 Reviews"
55,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","SponsoredSAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)4.224,531 Ratings & 1,625 Reviews4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories₹11,490₹17,49034% offFree deliveryFestive Best PriceUpto ₹8,000 Off on Exchange","₹11,490","4.224,531 Ratings & 1,625 Reviews"
56,"SAMSUNG Galaxy Z Flip3 5G (Cream, 128 GB)","SAMSUNG Galaxy Z Flip3 5G (Cream, 128 GB)4.36,811 Ratings & 458 Reviews8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display12MP + 12MP | 10MP Front Camera3300 mAh Lithium-ion BatteryQualcomm Snapdragon 888 Octa-Core Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories₹49,999₹95,99947% offFree deliveryTop Discount of the SaleUpto ₹42,000 Off on Exchange","₹49,999","4.36,811 Ratings & 458 Reviews"
57,"SAMSUNG Galaxy Z Flip3 5G (Phantom Black, 128 GB)","SAMSUNG Galaxy Z Flip3 5G (Phantom Black, 128 GB)4.36,811 Ratings & 458 Reviews8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display12MP + 12MP | 10MP Front Camera3300 mAh Lithium-ion BatteryQualcomm Snapdragon 888 Octa-Core Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories₹49,999₹95,99947% offFree deliverySave extra with combo offersUpto ₹42,000 Off on Exchange","₹49,999","4.36,811 Ratings & 458 Reviews"
58,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","SponsoredSAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)4.261,706 Ratings & 4,311 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories₹12,490₹18,49032% offFree deliveryFestive Best PriceUpto ₹8,200 Off on Exchange","₹12,490","4.261,706 Ratings & 4,311 Reviews"
59,"POCO X5 5G (Wildcat Blue, 256 GB)","SponsoredPOCO X5 5G (Wildcat Blue, 256 GB)4.213,135 Ratings & 980 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹14,999₹23,99937% offFree deliveryTop Discount of the SaleUpto ₹11,300 Off on Exchange","₹14,999","4.213,135 Ratings & 980 Reviews"
60,"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)","OnePlus 10 Pro 5G (Volcanic Black, 128 GB)4.2452 Ratings & 30 Reviews8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories₹48,999₹66,99926% offFree deliveryOnly few leftBank Offer","₹48,999",4.2452 Ratings & 30 Reviews
61,"OPPO Reno8 Pro 5G (Glazed Green, 256 GB)","OPPO Reno8 Pro 5G (Glazed Green, 256 GB)4.42,498 Ratings & 283 Reviews12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediatek Dimensity 8100 Max Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories₹45,999₹52,99913% off","₹45,999","4.42,498 Ratings & 283 Reviews"
62,"OnePlus 10T 5G (Jade Green, 128 GB)","OnePlus 10T 5G (Jade Green, 128 GB)4.3254 Ratings & 18 Reviews8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year on phone, 6 months on accessories₹45,989₹49,9998% offFree deliveryOnly 1 leftBank Offer","₹45,989",4.3254 Ratings & 18 Reviews
63,"vivo X70 Pro (Aurora Dawn, 256 GB)","vivo X70 Pro (Aurora Dawn, 256 GB)4.53,827 Ratings & 691 Reviews8 GB RAM | 256 GB ROM16.66 cm (6.56 inch) Full HD+ Display50MP + 12MP + 12MP + 8MP | 32MP Front Camera4450 mAh BatteryMediaTek Dimensity 1200 Processor1 Year for Handset and 6 Months for In-box Accessories₹45,999₹54,99016% offFree deliveryBig Saving DealOnly 1 left","₹45,999","4.53,827 Ratings & 691 Reviews"
64,"POCO X5 5G (Jaguar Black, 256 GB)","SponsoredPOCO X5 5G (Jaguar Black, 256 GB)4.213,135 Ratings & 980 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹14,999₹23,99937% offFree deliveryTop Discount of the SaleUpto ₹11,300 Off on Exchange","₹14,999","4.213,135 Ratings & 980 Reviews"
65,"APPLE iPhone 6 Plus (Silver, 64 GB)","APPLE iPhone 6 Plus (Silver, 64 GB)4.51,674 Ratings & 199 Reviews64 GB ROM13.97 cm (5.5 inch) Retina HD Display8MP Rear Camera | 1.2MP Front CameraA8 Chip with 64-bit Architecture and M8 Motion Co-processor1 Year Manufacturer Warranty₹48,999₹71,50031% offFree deliveryOnly 2 leftUpto ₹42,000 Off on Exchange","₹48,999","4.51,674 Ratings & 199 Reviews"
66,"OnePlus 10T 5G (Moonstone Black, 256 GB)","OnePlus 10T 5G (Moonstone Black, 256 GB)4.1180 Ratings & 14 Reviews12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year on phone & 6 months on accessories₹48,998₹54,99910% offFree deliveryOnly 1 leftBank Offer","₹48,998",4.1180 Ratings & 14 Reviews
67,"OnePlus 10T 5G (Jade Green, 256 GB)","OnePlus 10T 5G (Jade Green, 256 GB)4.1180 Ratings & 14 Reviews12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase₹48,990₹54,99910% offFree deliveryOnly 1 leftBank Offer","₹48,990",4.1180 Ratings & 14 Reviews
68,"vivo X60 (Midnight Black, 256 GB)","vivo X60 (Midnight Black, 256 GB)4.41,090 Ratings & 138 Reviews12 GB RAM | 256 GB ROM16.66 cm (6.56 inch) Full HD+ Display48MP + 13MP + 13MP | 32MP Front Camera4300 mAh Lithium-ion BatteryQualcomm Snapdragon 870 ProcessorAMOLED Display1 Year for Handset and 6 Months for In-box Accessories₹46,990","₹46,990","4.41,090 Ratings & 138 Reviews"
69,"OPPO Reno8 Pro 5G (Glazed Black, 256 GB)","OPPO Reno8 Pro 5G (Glazed Black, 256 GB)4.42,498 Ratings & 283 Reviews12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediatek Dimensity 8100 Max Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories₹41,703₹52,99921% offFree deliveryOnly 2 leftBank Offer","₹41,703","4.42,498 Ratings & 283 Reviews"
70,"OPPO Reno7 Pro 5G (Starlight Black, 256 GB)","OPPO Reno7 Pro 5G (Starlight Black, 256 GB)4.38,573 Ratings & 1,112 Reviews12 GB RAM | 256 GB ROM16.51 cm (6.5 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 1200-Max Processor65W SuperVOOC | OPPO Sony IMX766 Flagship Rear Camera SensorAircraft-Grade Shooting Star Design | OPPO Glow1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories₹47,990","₹47,990","4.38,573 Ratings & 1,112 Reviews"
71,"OPPO Reno7 Pro 5G (Startrails Blue, 256 GB)","OPPO Reno7 Pro 5G (Startrails Blue, 256 GB)4.38,573 Ratings & 1,112 Reviews12 GB RAM | 256 GB ROM | Expandable Upto 7 GB16.51 cm (6.5 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 1200-Max Processor65W SuperVOOC | OPPO Sony IMX766 Flagship Rear Camera SensorAircraft-Grade Shooting Star Design | OPPO Glow1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories₹47,990","₹47,990","4.38,573 Ratings & 1,112 Reviews"
72,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","SponsoredSAMSUNG Galaxy F14 5G (OMG Black, 128 GB)4.261,706 Ratings & 4,311 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories₹12,490₹18,49032% offFree deliveryFestive Best PriceUpto ₹8,200 Off on Exchange","₹12,490","4.261,706 Ratings & 4,311 Reviews"
73,"POCO X5 5G (Supernova Green, 256 GB)","SponsoredPOCO X5 5G (Supernova Green, 256 GB)4.213,135 Ratings & 980 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹14,999₹23,99937% offFree deliveryTop Discount of the SaleUpto ₹11,300 Off on Exchange","₹14,999","4.213,135 Ratings & 980 Reviews"
74,"vivo V29 Pro 5G (Black, 256 GB)","vivo V29 Pro 5G (Black, 256 GB)4.5832 Ratings & 131 Reviews12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 12MP + 8MP | 50MP Front Camera4600 mAh BatteryDimensity 8200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹42,999","₹42,999",4.5832 Ratings & 131 Reviews
75,"vivo V29 Pro 5G (Blue, 256 GB)","vivo V29 Pro 5G (Blue, 256 GB)4.5832 Ratings & 131 Reviews12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 12MP + 8MP | 50MP Front Camera4600 mAh BatteryDimensity 8200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹42,999","₹42,999",4.5832 Ratings & 131 Reviews
76,"Nothing Phone (2) (White, 512 GB)","Nothing Phone (2) (White, 512 GB)4.46,414 Ratings & 838 Reviews12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50 MP(OIS) +50MP | 32MP Front Camera4700 mAh Lithium ion BatteryQualcomm Snapdragon 8+ Gen 1 ProcessorLTPO AMOLED (1 Hz - 120 Hz)1 Year Manufacturing Warranty₹49,999₹59,99916% offFree deliveryFestive Best PriceUpto ₹42,000 Off on Exchange","₹49,999","4.46,414 Ratings & 838 Reviews"
77,"OnePlus 11R 5G (Sonic Black, 256 GB)","OnePlus 11R 5G (Sonic Black, 256 GB)4.58,294 Ratings & 648 Reviews16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh BatteryDomestic warranty of 12 months on phone & 6 months on accessries₹44,999Free deliverySave extra with combo offersOnly 2 left","₹44,999","4.58,294 Ratings & 648 Reviews"
78,"Nothing Phone (2) (Dark Grey, 512 GB)","Nothing Phone (2) (Dark Grey, 512 GB)4.46,414 Ratings & 838 Reviews12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50 MP(OIS) +50MP | 32MP Front Camera4700 mAh Lithium ion BatteryQualcomm Snapdragon 8+ Gen 1 ProcessorLTPO AMOLED (1 Hz - 120 Hz)1 Year Manufacturing Warranty₹49,999₹59,99916% offFree deliveryFestive Best PriceUpto ₹42,000 Off on Exchange","₹49,999","4.46,414 Ratings & 838 Reviews"
79,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","SponsoredSAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)4.224,531 Ratings & 1,625 Reviews4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories₹11,490₹17,49034% offFree deliveryFestive Best PriceUpto ₹8,000 Off on Exchange","₹11,490","4.224,531 Ratings & 1,625 Reviews"
80,"SAMSUNG Galaxy Z Flip3 5G (Cream, 128 GB)","SAMSUNG Galaxy Z Flip3 5G (Cream, 128 GB)4.36,811 Ratings & 458 Reviews8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display12MP + 12MP | 10MP Front Camera3300 mAh Lithium-ion BatteryQualcomm Snapdragon 888 Octa-Core Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories₹49,999₹95,99947% offFree deliveryTop Discount of the SaleUpto ₹42,000 Off on Exchange","₹49,999","4.36,811 Ratings & 458 Reviews"
81,"SAMSUNG Galaxy Z Flip3 5G (Phantom Black, 128 GB)","SAMSUNG Galaxy Z Flip3 5G (Phantom Black, 128 GB)4.36,811 Ratings & 458 Reviews8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display12MP + 12MP | 10MP Front Camera3300 mAh Lithium-ion BatteryQualcomm Snapdragon 888 Octa-Core Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories₹49,999₹95,99947% offFree deliverySave extra with combo offersUpto ₹42,000 Off on Exchange","₹49,999","4.36,811 Ratings & 458 Reviews"
82,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","SponsoredSAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)4.261,706 Ratings & 4,311 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories₹12,490₹18,49032% offFree deliveryFestive Best PriceUpto ₹8,200 Off on Exchange","₹12,490","4.261,706 Ratings & 4,311 Reviews"
83,"POCO X5 5G (Wildcat Blue, 256 GB)","SponsoredPOCO X5 5G (Wildcat Blue, 256 GB)4.213,135 Ratings & 980 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹14,999₹23,99937% offFree deliveryTop Discount of the SaleUpto ₹11,300 Off on Exchange","₹14,999","4.213,135 Ratings & 980 Reviews"
84,"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)","OnePlus 10 Pro 5G (Volcanic Black, 128 GB)4.2452 Ratings & 30 Reviews8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories₹48,999₹66,99926% offFree deliveryOnly few leftBank Offer","₹48,999",4.2452 Ratings & 30 Reviews
85,"OPPO Reno8 Pro 5G (Glazed Green, 256 GB)","OPPO Reno8 Pro 5G (Glazed Green, 256 GB)4.42,498 Ratings & 283 Reviews12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediatek Dimensity 8100 Max Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories₹45,999₹52,99913% off","₹45,999","4.42,498 Ratings & 283 Reviews"
86,"OnePlus 10T 5G (Jade Green, 128 GB)","OnePlus 10T 5G (Jade Green, 128 GB)4.3254 Ratings & 18 Reviews8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year on phone, 6 months on accessories₹45,989₹49,9998% offFree deliveryOnly 1 leftBank Offer","₹45,989",4.3254 Ratings & 18 Reviews
87,"vivo X70 Pro (Aurora Dawn, 256 GB)","vivo X70 Pro (Aurora Dawn, 256 GB)4.53,827 Ratings & 691 Reviews8 GB RAM | 256 GB ROM16.66 cm (6.56 inch) Full HD+ Display50MP + 12MP + 12MP + 8MP | 32MP Front Camera4450 mAh BatteryMediaTek Dimensity 1200 Processor1 Year for Handset and 6 Months for In-box Accessories₹45,999₹54,99016% offFree deliveryBig Saving DealOnly 1 left","₹45,999","4.53,827 Ratings & 691 Reviews"
88,"POCO X5 5G (Jaguar Black, 256 GB)","SponsoredPOCO X5 5G (Jaguar Black, 256 GB)4.213,135 Ratings & 980 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹14,999₹23,99937% offFree deliveryTop Discount of the SaleUpto ₹11,300 Off on Exchange","₹14,999","4.213,135 Ratings & 980 Reviews"
89,"APPLE iPhone 6 Plus (Silver, 64 GB)","APPLE iPhone 6 Plus (Silver, 64 GB)4.51,674 Ratings & 199 Reviews64 GB ROM13.97 cm (5.5 inch) Retina HD Display8MP Rear Camera | 1.2MP Front CameraA8 Chip with 64-bit Architecture and M8 Motion Co-processor1 Year Manufacturer Warranty₹48,999₹71,50031% offFree deliveryOnly 2 leftUpto ₹42,000 Off on Exchange","₹48,999","4.51,674 Ratings & 199 Reviews"
90,"OnePlus 10T 5G (Moonstone Black, 256 GB)","OnePlus 10T 5G (Moonstone Black, 256 GB)4.1180 Ratings & 14 Reviews12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year on phone & 6 months on accessories₹48,998₹54,99910% offFree deliveryOnly 1 leftBank Offer","₹48,998",4.1180 Ratings & 14 Reviews
91,"OnePlus 10T 5G (Jade Green, 256 GB)","OnePlus 10T 5G (Jade Green, 256 GB)4.1180 Ratings & 14 Reviews12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4800 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase₹48,990₹54,99910% offFree deliveryOnly 1 leftBank Offer","₹48,990",4.1180 Ratings & 14 Reviews
92,"vivo X60 (Midnight Black, 256 GB)","vivo X60 (Midnight Black, 256 GB)4.41,090 Ratings & 138 Reviews12 GB RAM | 256 GB ROM16.66 cm (6.56 inch) Full HD+ Display48MP + 13MP + 13MP | 32MP Front Camera4300 mAh Lithium-ion BatteryQualcomm Snapdragon 870 ProcessorAMOLED Display1 Year for Handset and 6 Months for In-box Accessories₹46,990","₹46,990","4.41,090 Ratings & 138 Reviews"
93,"OPPO Reno8 Pro 5G (Glazed Black, 256 GB)","OPPO Reno8 Pro 5G (Glazed Black, 256 GB)4.42,498 Ratings & 283 Reviews12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediatek Dimensity 8100 Max Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories₹41,703₹52,99921% offFree deliveryOnly 2 leftBank Offer","₹41,703","4.42,498 Ratings & 283 Reviews"
94,"OPPO Reno7 Pro 5G (Starlight Black, 256 GB)","OPPO Reno7 Pro 5G (Starlight Black, 256 GB)4.38,573 Ratings & 1,112 Reviews12 GB RAM | 256 GB ROM16.51 cm (6.5 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 1200-Max Processor65W SuperVOOC | OPPO Sony IMX766 Flagship Rear Camera SensorAircraft-Grade Shooting Star Design | OPPO Glow1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories₹47,990","₹47,990","4.38,573 Ratings & 1,112 Reviews"
95,"OPPO Reno7 Pro 5G (Startrails Blue, 256 GB)","OPPO Reno7 Pro 5G (Startrails Blue, 256 GB)4.38,573 Ratings & 1,112 Reviews12 GB RAM | 256 GB ROM | Expandable Upto 7 GB16.51 cm (6.5 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 1200-Max Processor65W SuperVOOC | OPPO Sony IMX766 Flagship Rear Camera SensorAircraft-Grade Shooting Star Design | OPPO Glow1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories₹47,990","₹47,990","4.38,573 Ratings & 1,112 Reviews"
96,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","SponsoredSAMSUNG Galaxy F14 5G (OMG Black, 128 GB)4.261,706 Ratings & 4,311 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories₹12,490₹18,49032% offFree deliveryFestive Best PriceUpto ₹8,200 Off on Exchange","₹12,490","4.261,706 Ratings & 4,311 Reviews"
97,"POCO X5 5G (Supernova Green, 256 GB)","SponsoredPOCO X5 5G (Supernova Green, 256 GB)4.213,135 Ratings & 980 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹14,999₹23,99937% offFree deliveryTop Discount of the SaleUpto ₹11,300 Off on Exchange","₹14,999","4.213,135 Ratings & 980 Reviews"
98,"vivo V29 Pro 5G (Black, 256 GB)","vivo V29 Pro 5G (Black, 256 GB)4.5832 Ratings & 131 Reviews12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 12MP + 8MP | 50MP Front Camera4600 mAh BatteryDimensity 8200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹42,999","₹42,999",4.5832 Ratings & 131 Reviews
